name,description,category,url
Meteorology Club at Virginia Tech,The Blue Ridge Chapter of the AMS and NWA is how we get involved in anything and everything related to field of meteorology.,Academic,https://gobblerconnect.vt.edu/meteorologyclub/
Microbiology Club at Virginia Tech,"We are a community of students of all majors who are excited about science and want to explore everything the field has to offer. Through our outreach and volunteering events, members get hands-on opportunities to share microbiology with the broader community. Members can learn about ongoing…",Academic,https://gobblerconnect.vt.edu/microbiologyclub/
Middle Eastern North African Student Association,"The purpose of the Middle Eastern North African Student Association at Virginia Tech is to promote a greater understanding of the Arab and North African cultures, languages, and customs among students, faculty, and community members at Virginia Tech",Advocacy & Awareness,https://gobblerconnect.vt.edu/menasa/
Midshipman Penafiel Workout Club,NROTC derived film appreciation club,Arts & Entertainment,https://gobblerconnect.vt.edu/mpwc/
"Minorities in Agriculture, Natural Resources and Related Sciences","MANRRS at Virginia Tech is a part of the national MANRRS organization. Our mission is to promote academic and professional advancement for students and professionals in agriculture, natural resources, and related sciences.",Academic,https://gobblerconnect.vt.edu/manrrs/
Minority Association of Pre-Health Students,"MAPS works to assist minority students in their goal to become successful in a health related career through various activities such as workshops, volunteer opportunities, professional development, and guest speaker events.",Academic,https://www.instagram.com/vtmaps/
Mixed Emotions A Cappella,"Mixed Emotions, or MEMO, was founded in 1996 and is both the second-oldest a cappella group and the premier co-ed a cappella group at Virginia Tech.",Arts & Entertainment,https://gobblerconnect.vt.edu/mixedemotions/
Mixed Martial Arts Club at Virginia Tech,"The Mixed Martial Arts Club at VT welcomes everyone at any level of experience to be a part of our community. Our primary focuses are No-Gi Brazilian Jiu-Jitsu, Thai Kickboxing, and Boxing.",Recreation,https://linktr.ee/vtmma?utm_source=linktree_profile_share&ltsid=27a5ed8b-0139-42aa-bc59-257cd779ecf9
Model United Nations at Virginia Tech,"The Model United Nations team at Virginia Tech. We participate in competitive intercollegiate debate through parliamentary procedures, immersive team building activities, and fostering dialogue on world affairs.",Academic,https://gobblerconnect.vt.edu/munvt/
Mongolian American Youth Association,"MAYA welcomes everyone who is excited about Mongolia’s rich culture, heritage, and cuisine. You don't need to be Mongolian or speak the language—just bring your curiosity and join us in celebrating this fascinating culture!",Campus Spirit & Traditions,https://gobblerconnect.vt.edu/maya/
Moped Club at Virginia Tech,"The Moped Club at Virginia Tech exists to bring together moped owners, enthusiasts, and anyone else interested in mopeds.",Enthusiasts & Special Interests,https://gobblerconnect.vt.edu/mopedclub/
Morgan's Message,Morgan's Message works towards eliminating the stigma surrounding student-athlete mental health. We provide a safe space for athletes to discuss their struggles and empower them along the way.,Advocacy & Awareness,https://gobblerconnect.vt.edu/morgansmessage/
Moroccan American Student Association,"A student organization dedicated to promoting Moroccan culture, fostering connections, and creating memorable experiences on campus.",Cultural & International,https://gobblerconnect.vt.edu/masa/
Motorcycle Club at Virginia Tech,"MCVT is an organization that brings together the motorcycle community within Virginia Tech, Blacksburg, and beyond",Enthusiasts & Special Interests,https://discord.gg/4ju3ZzcBqQ
Mu Epsilon Delta,"Mu Epsilon Delta is a national co-ed, pre-health professional fraternity whose mission is to prepare members to succeed in pre-health careers through the development of brotherhood, service, and leadership.",Academic,https://gobblerconnect.vt.edu/med/
Mu Sigma Rho,Statistics National Honor Society.,Academic,https://gobblerconnect.vt.edu/msr/
Mucking Team,The Mucking Team/Mine Competition Team competes in old-fashioned mining events to remember those we've lost in the mining industry and to keep traditional mining methods alive.,Recreation,https://gobblerconnect.vt.edu/muckingteam/
Muslim Student Association,We believe in helping individuals strengthen their connection with Islam and fostering a community based on Islamic principles.,Advocacy & Awareness,http://linktree.com/vt.msa
NABA Inc,"NABA, Inc. is a membership association that bridges the opportunity gap for Black Business Leaders in accounting, finance, and all other business majors. Our organization is meant to help connect people with their future professions.",Professional & Career Development,http://www.nabainc.org/
Nanoscience Student Society,"The Nanoscience Student Society provides a space for interdisciplinary discussion, research, and outreach for everything nanoscience related.",Academic,http://linktr.ee/NSSVT
NASA Student Launch at Virginia Tech,The Virginia Tech NASA Student Launch Team’s mission is to inspire and develop the next generation of aerospace engineers by providing students with hands-on experience in the complete engineering design process through NASA’s Student Launch competition. The team is committed to fostering technical…,Technology,https://gobblerconnect.vt.edu/SLVT/
Nasha at Virginia Tech,"Nasha is a South Asian fusion a cappella team at Virginia Tech that blends South Asian and Western music. We aim to perform, compete, and build a strong musical community that celebrates culture and creativity through vocal harmony.",Arts & Entertainment,https://gobblerconnect.vt.edu/nasha/
National Association for the Advancement of Colored People,"We're a branch of the NAACP Youth &amp; College whose main focus is to develop ourselves into future leaders while raising awareness about how minorities are affected by economic development, education, health, juvenile justice, &amp; voter empowerment.",Advocacy & Awareness,https://linktr.ee/NAACP_VT
National Association of Home Builders Chapter at Virginia Tech,"Develop future leaders in the residential construction industry by fostering professional growth, hands-on learning, making industry connections, and a commitment to excellence, innovation, and ethical leaderships.",Other,https://gobblerconnect.vt.edu/NAHBVT/
National Defense Society at Virginia Tech,"The National Defense Society (NDS) envisions a future in which the next generation of national security leaders emerges from diverse academic disciplines, equipped not only with technical expertise, but with a deep understanding of the ethical, geopolitical, and industrial dimensions of America's…",Technology,https://gobblerconnect.vt.edu/NDS/
National Electrical Contractors Association at Virginia Tech,"Our mission is to provide a space for like-minded students who are interested in exploring and working in the electrical construction industry to come together. We offer career and professional development opportunities, opportunities to network with mentors and industry leaders, as well as…",Technology,https://gobblerconnect.vt.edu/NECA/
National Organization of Minority Architecture Students at Virginia Tech,"Create diversity within the design professions by promoting the excellence, community engagement, and professional development of its members.",Academic,https://linktr.ee/nomas_vt
National Pan-Hellenic Council,"The National Pan-Hellenic Council promotes interaction through forums, meetings and other mediums for the exchange of information and engages in cooperative programming and initiatives through various activities and functions through its 9 constituents.",Cultural & International,https://fsl.vt.edu/organizations/councils/NPHC.html
National Society of Black Women in Medicine,The National Society of Black Women in Medicine at Virginia Tech is a multidisciplinary organization that works to increase the recruitment and retention of students pursuing broad careers in medicine.,Academic,https://gobblerconnect.vt.edu/nsbwm/
Natural History Collections Club,"This organization works closely with the natural history collections, such as fossils, insects, and animal specimens on campus and around the Blacksburg area, helping to maintain them and create student and local residents' interest in these resources.",Academic,https://natural-history-collections-club.b12sites.com/index#services
Naturally Sharp,"Naturally Sharp is Virginia Tech's best-dressed a cappella group. Since 2002, Natty has been vibing, rocking the stage, and giving amazing on-stage entertainment. This includes a concert each semester, performances at NASCAR, and local performances.",Arts & Entertainment,https://gobblerconnect.vt.edu/naturallysharp/
Naval Special Operations Preparatory Team,"NSPT is an organization focused on preparing students for challenging military training they may face in the future. It prepares them mentally and physically, by drawing on resources such as retired Military personnel and D1 athletes.",Professional & Career Development,https://gobblerconnect.vt.edu/nspt/
Nepalese Student Association,Nepalese Student Association (NSA) aims to spread Nepali culture throughout Virginia Tech and the surrounding community.,Cultural & International,https://gobblerconnect.vt.edu/nsa/
Neuroscience Club,"We are a student-led academic organization that allows students to explore the interdisciplinary field of Neuroscience.&nbsp;Meetings involve guest speaker lectures, outreach opportunities, social events, workshops, and more.",Academic,https://gobblerconnect.vt.edu/neuroscienceclub/
Neuroscience Postdoctoral and Graduate Student Association,The purpose of Neuroscience Postdoctoral and Graduate Student Association (NPGA) at Virginia Tech is to facilitate professional and scientific development for postdoctoral associates and graduate students at Virginia Tech.,Academic,https://neuroscience.vt.edu/graduate/current-students-resources/neuroscience-postdoctoral-and-graduate-student-association.html
NeuroTech Club at Virginia Tech,"We are a student run design team aimed at building brain–computer interface applications. We bring together students interested in neuroscience, engineering, and computing to collaborate on projects and share knowledge.",Enthusiasts & Special Interests,https://neurotechvt.org/
New Life Christian Fellowship,Behold: to encounter the living God. Be Built: to be formed into mature disciples of Jesus. Be sent: to join Him in His redeeming work in the world.,Religious,https://gobblerconnect.vt.edu/nlcf/
Ninja Warrior Club at Virginia Tech,"We are a club dedicated to spreading the sport of ""ninja"", derived from the popular television show ""American Ninja Warrior"", to Virginia Tech. Our goal's to provide both recreational and competitive opportunities for our members to experience the sport.",Recreation,https://gobblerconnect.vt.edu/ninjawarriorclubatvirginiatech/
Northstar Ministry at Virginia Tech,"Northstar Church exists to make disciples of Jesus who model intimacy, humility, and obedience, using our influence to share the gospel on campus and in the community. We seek to equip students to not just go to church, but to be the church.",Religious,https://northstarfamily.org/
Occupational Therapy Club,OT Club prepares students for a future in Occupational Therapy.,Academic,https://gobblerconnect.vt.edu/otclub/
Olé at Virginia Tech,"Olé at VT is a group of students dedicated to studying the art and performance of Flamenco dance, as well as other types of Spanish dance. It was founded +10 years ago by Maria del Carmen Caña Jimenez, Professor in the Department of Modern and Classical Languages and Literatures at Virginia Tech.We…",Arts & Entertainment,https://gobblerconnect.vt.edu/oleatvt/
Omega Chi Epsilon,"The Society of Omega Chi Epsilon promotes high scholarship, encourages original investigation in chemical engineering, and recognizes the valuable traits of integrity, leadership, and character.",Academic,http://www.omegachiepsilon.org
Omega Phi Alpha,"Omega Phi Alpha is a national service sorority with hundreds of collegiate members who actively serve their communities. Through the various chapters at over 30 universities across the United States, OPhiA sisters strive to further the sorority's principles of friendship, leadership, and service.…",Service & Charity,https://gobblerconnect.vt.edu/omegaphialpha/
"Omega Psi Phi Fraternity, Inc.","Omega Psi Phi is a National Pan Hellenic organization founded on the campus of Howard University on November 17, 1911. Our cardinal principles are Manhood, Scholarship, Perseverance, and Uplift. Eta Lambda was chartered here on September 22, 1979.",Cultural & International,https://gobblerconnect.vt.edu/ques/
One Health Club at the Virginia-Maryland College of Veterinary Medicine,"The objective of the One Health Club at VMCVM is to bring awareness to the mission of One Health and its goal: to highlight the intimate interconnection of animal, environmental, and public health. Our mission is to provide veterinary students with the knowledge and opportunity to incorporate the…",Professional & Career Development,https://gobblerconnect.vt.edu/onehealth/
Open the Gates Gaming Adventurers,"Play is a human right, and accessibility ensures that everyone has a seat at the table. We design and share accessibility ideas for gaming and community-building, allow students to engage with accessibility through gaming, and send students to conferences to kickstart accessibility-centered gaming…",Technology,https://gobblerconnect.vt.edu/otgga/
Operation Smile Club at Virginia Tech,"A club dedicated to helping Operation Smile reach its goal of providing safe surgery to children in need of cleft lip and cleft palate surgeries, and creating awareness of this problem to the Virginia Tech campus.",Advocacy & Awareness,https://gobblerconnect.vt.edu/operationsmile/
Orbital Launch Vehicle Team at Virginia Tech,We are an engineering design team committed to becoming the first collegiate rocketry team to build and launch an orbital launch vehicle.,Technology,https://olvt.org/
Orthodox Christian Campus Ministries Chapter at Virginia Tech,Our aim for the Orthodox Christian Campus Ministry at Virginia Tech is to provide a communal space to welcome all people to learn about the unique Christian faith and for Coptics to gather and further their faith as well.,Religious,https://occmvt.vercel.app/calendar
Orthodox Christian Fellowship,"Orthodox Christian Fellowship transforms the lives of college students by guiding them along the path to Jesus Christ through His Church, cultivating a campus community of worship, witness, service, fellowship, and education.",Cultural & International,https://gobblerconnect.vt.edu/ocf/
Outdoor Club at Virginia Tech,"Get outside, explore new areas, meet new people, learn new things, and volunteer to maintain the Appalachian trail. Join us and have an adventure! Visit our Instagram here: https://www.instagram.com/outdoorclubvt/ to find our main website page!",Enthusiasts & Special Interests,https://gobblerconnect.vt.edu/ocvt/
Overland Club at Virginia Tech,"The Overland Club at Virginia Tech exists to build a welcoming community around overlanding, camping, off-roading, and outdoor adventure. Our mission is to make these experiences more accessible to students by providing organized trips, shared knowledge, hands-on learning, and opportunities to…",Enthusiasts & Special Interests,https://groupme.com/join_group/106727279/ULWzu0ka
Overwatch at Virginia Tech,Overwatch at Virginia Tech is the center of casual and competitive Overwatch for VT. We have both online and in person meetings. Tryouts are held at the start of each academic semester and place players into teams to gain experience in a structured team environment and make valuable connections.…,Technology,https://gobblerconnect.vt.edu/VTOW/
Packaging Systems and Design Club at Virginia Tech,"Mission: To foster professional development and ensure growth among Virginia Tech's Packaging Students. Our vision is to prepare our members with the skills necessary to be independent, knowledgeable, and successful packaging professionals.",Academic,https://gobblerconnect.vt.edu/iopp/
Page by Page,"Page by Page is a book club at Virginia Tech. If you enjoy reading or want to start, check us out!",Arts & Entertainment,https://gobblerconnect.vt.edu/pagebypage/
Paintball Club at Virginia Tech,"PBVT is committed to fostering, developing, and introducing the student population to competitive college paintball, striving to cultivate a competitive, tight-knit team environment that empowers our players to learn, grow, and excel.",Arts & Entertainment,https://vtclubpaintball.org/
Pakistani Student Alliance,The Pakistani Student Alliance at Virginia Tech was formed in the early 1990's. PAKSA represents the Islamic Republic of Pakistan and its culture throughout the Virginia Tech community.,Cultural & International,https://sites.google.com/view/paksaatvt/home
Pakistani Students & Professionals Association at Virginia Tech,"PakSPA at VT is a welcoming community for Pakistani students and professionals, supporting growth, connection, and cultural empowerment.",Academic,https://gobblerconnect.vt.edu/pakspaatvt/
Pamplin Leadership Development Team,"Host an Annual Student Leadership Conference in the Fall that helps students to build connections with company sponsors and each other!Connect Students to companies, serving as the liaison for students in leadership roles to understand and learn from leaders in professional fields!",Academic,https://www.vtpldt.com/
Panhellenic Council,"The Panhellenic Council is the governing body of the thirteen NPC chapters at Virginia Tech. It is comprised of nineteen officers and thirteen delegates, and junior delegates representing each chapter.",Other,https://vtpanhellenic.org/
Paws For Purpose,"Paws for a Purpose is a Virginia Tech student organization dedicated to improving animal welfare while providing students with meaningful opportunities to serve their community. Our mission is to connect students who are passionate about animals with volunteer, educational, and advocacy experiences…",Service & Charity,https://gobblerconnect.vt.edu/PFP/
Peacework at Virginia Tech,"The student-led chapter actively engages in initiatives and campaigns to discover innovative solutions aimed at promoting social change and addressing global challenges. Our focus is on sustainable, community-led, and culturally appropriate solutions.",Advocacy & Awareness,https://gobblerconnect.vt.edu/peaceworkatvirginiatech/
Period at Virginia Tech,"As a chapter, we &quot;work to advance PERIOD’s mission of eradicating period poverty and stigma by creating action plans that employ our three pillars of service, education, and advocacy&quot; within the New River Valley community and internationally.",Advocacy & Awareness,https://gobblerconnect.vt.edu/periodatvirginiatech/
Peruanos at Virginia Tech,"Peruanos is committed to illuminating Peruvian culture, heritage, and traditions through food, community, and shared experiences. We strive to connect Peruvians on campus, create a supportive space for Latinos, and build a home away from home.",Academic,https://gobblerconnect.vt.edu/peruanos/
Phi Alpha Delta Pre Law Fraternity,"Phi Alpha Delta is a co-ed fraternity for anyone interested in pursuing a legal career. We host speakers, conduct workshops and law admission panels. We also provide a social venue for anyone who is interested in the law or the legal profession.",Academic,http://www.padvt.org
Phi Chi Theta,"Founded in 1924, Phi Chi Theta has grown into one of the nation's largest co-ed professional business fraternities, bringing together students with interests in business, economics, management, and related fields. Our chapter is committed to helping members build successful careers, form lifelong…",Academic,https://gobblerconnect.vt.edu/PCT/
Phi Gamma Nu at Virginia Tech,"Phi Gamma Nu (PGN) is a co-ed, professional business fraternity that is open to all majors! With 20&#43; organizations nationwide, we hope to bring PGN's opportunities to Virginia Tech and continue fostering growth!",Other,https://gobblerconnect.vt.edu/phigammanu/
Phi Sigma Pi National Honor Fraternity - Alpha Rho Chapter,"Phi Sigma Pi is a National Gender-Inclusive Honor Fraternity built upon a foundational tripod of Scholarship, Leadership, and Fellowship. Membership is open to all undergraduate students who are in good standing with the university.",Honor Society,https://gobblerconnect.vt.edu/phisigmapi/
Phi Tau Sigma,Our mission is to honor and elevate the accomplishments of students in food science and technology. Members will have the opportunity to be recognized for their achievements and contributions within the program and food industry.,Academic,https://gobblerconnect.vt.edu/phitausigma/
Philosophy Club at Virginia Tech,The Philosophy Club at Virginia Tech is the biggest on-campus philosophy-related organization and is open to all students.,Enthusiasts & Special Interests,https://gobblerconnect.vt.edu/philosophyclub/
Physical Therapy Club,The PT Club is a great resource for anyone interested in a career in physical therapy. Our members get to hear from numerous guest speakers from DPT programs and receive information on all areas of the process leading up to acceptance to graduate school.,Academic,https://gobblerconnect.vt.edu/ptclub/
Physics Infused Vision for Onward Thinking,"PIVOT specializes in applying fundamental physics across a broad spectrum of fields. We are competing in innovation competitions that allow us to utilize a strong physics base and creativity to nationalize/globalize, solutions to problems we see.",Academic,https://www.vtpivot.org/
Pi Alpha Alpha,The VT student chapter of PAA exists to recognize outstanding students of public administration through induction into the PAA global honor society. See http://pialphaalpha.org/for eligibility requirements.,Academic,http://pialphaalpha.org/
Pi Alpha Xi,The Kappa Chapter of the National Honor Society for Horticulture - Pi Alpha Xi.,Academic,https://gobblerconnect.vt.edu/pax/
Pi Sigma Epsilon - Delta Epsilon Chapter,"OPEN TO ALL MAJORS! PSE is the only national gender inclusive professional fraternity in the fields of sales, marketing, &amp; management. Join us to gain professional skills and lifelong connections! Open to all majors!",Academic,http://psevt.com
Pickleball Club at Virginia Tech,"Pickleball Club at Virginia Tech is an organization dedicated to providing students the opportunity to compete, play, and learn pickleball.",Recreation,https://gobblerconnect.vt.edu/pickleballclubatvt/
Planned Parenthood Generation Action at Virginia Tech,"Planned Parenthood Generation Action is a network of activists at Virginia Tech who advocate for reproductive freedom and sexual health, in order to create lasting change in our community.",Advocacy & Awareness,https://groupme.com/join_group/104550016/stK9j0Hn
PokéTech,"We are an RSO gathering players in the New River Valley and at Virginia Tech for competitive and casual play of the Pokémon video and card games, as well as other Pokémon-related activities.",Enthusiasts & Special Interests,https://www.pokemon.com/us/account/play-pokemon-leagues/4996/
Polo Club at Virginia Tech,The mission of the Polo Club at Virginia Tech is to provide training and playing opportunities for students at the university. We will strive to bring awareness of this exciting equestrian discipline to fellow students and faculty.,Enthusiasts & Special Interests,http://poloclubatvt.com
Poultry Club at Virginia Tech,"Our purpose as a club is to help bridge the gap for Virginia Tech students, the poultry industry and the community through industry interaction, internships, research and community involvement. If you are interested please let us know!",Enthusiasts & Special Interests,https://gobblerconnect.vt.edu/poultryclub/
Powerlifting Club at Virginia Tech,A student-based club that focuses on gathering the active powerlifting community,Enthusiasts & Special Interests,https://gobblerconnect.vt.edu/powerlifting/
Pre-Optometry Club at Virginia Tech,"This club is for those interested in the field of Optometry. We will focus on information about the field in general, the process of applying to schools, and OAT preparation.",Academic,https://gobblerconnect.vt.edu/preoptometryvt/
Pre-Pharmacy Club at Virginia Tech,Our club is dedicated to helping those interested in pharmacy explore the many options available to them. Emphasis is placed on presentations from pharmacy school representatives. We volunteer & participate in community service.,Academic,https://gobblerconnect.vt.edu/prepharmacyclubatvt/
Pre-Physician Assistant Club,Pre-Physician Assistant Club is geared toward providing a supportive environment to Virginia Tech students who are interested in pursuing a career as a physician assistant. Our semester schedule is posted to our Instagram!,Academic,https://gobblerconnect.vt.edu/prepaclubvt/
Pre-Veterinary Medical Association,Our organization aims to expose prospective veterinary students to the field of veterinary medicine and other animal-related careers. We host events and volunteer closely with organizations that benefit animal welfare to give back to our community.,Academic,http://prevet.org.vt.edu
PRESENT!! at Virginia Tech,"Looking to advance your public speaking abilities without the pressure of grades or formalities? Look no further!PRESENT!! at Virginia Tech is a student-led club organization dedicated to fostering a low pressure, judgement-free environment for students who are looking to practice presenting in…",Academic,https://gobblerconnect.vt.edu/present/
Pride Council of Virginia Tech,"The mission of the Pride Council is to serve the queer and trans communities at Virginia Tech. It act as an umbrella organization over the branching gender, sexual, and romantic-minority serving student organizations.",Advocacy & Awareness,https://gobblerconnect.vt.edu/pridecouncil/
Pride Student Veterinary Medical Community at Virginia-Maryland College of Veterinary Medicine,The goal of our PrideSVMC chapter is to advocate for the LGBTQ+ students in VMCVM and provide them with a safe space to be their authentic selves and find community. We also aim to be a resource to learn more about LGBTQ+ issues/identities within vetmed.,Advocacy & Awareness,https://gobblerconnect.vt.edu/pridesvmc/
Primeros Pasos,The mission of Primeros Pasos is to provide Galax High School students guidance to pursue higher education and career opportunities after high school through the mentorship of Virginia Tech students from underrepresented minority communities.,Academic,https://primerospasos.carrd.co
PRISM,"PRISM is an interdisciplinary student-led ad agency run by the next generation of creatives, strategists, analysts, and marketing mavens. As student advertisers, we have a profound understanding of the ever-changing digital landscape and are constantly keeping up to date with the latest trends.…",Academic,http://www.vtprism.com
Project Linus at Virginia Tech,Project Linus at Virginia Tech is a non-profit organization focused on creating homemade blankets for children in need with the local NRV chapter. We make blankets from fleece/yarn but no crafting skills are required to join; everyone is welcome.,Service & Charity,https://gobblerconnect.vt.edu/nrvprojectlinus/
Psi Chi and Psychology Club,"The purpose is to provide information about the various fields of psychology, help students prepare for graduate school, inform students about possible job/volunteer opportunities, and host speakers from different psychology areas at meetings. We meet biweekly from 5:30pm to 6:30pm on Thursdays…",Academic,https://gobblerconnect.vt.edu/psychclub/
Psi Gamma Chapter of Theta Tau,"Co-Ed Professional Engineering FraternityEngineering Leaders for Service, Profession, and Brotherhood",Academic,https://www.instagram.com/vt_theta_tau/
Public Health Association at Virginia Tech,"GPHA is a campus-wide professional, academic, and social organization for graduate and undergraduate students interested in Public Health. We are within the Population Health Sciences Department at the VA-MD College of Veterinary Medicine.",Academic,https://gobblerconnect.vt.edu/phavt/
Public Relations Student Society of America,"PRSSA aspires to advance the public relations profession by developing ethically responsible pre-professionals who champion diversity, strive for outstanding education, and advocate for the profession.",Academic,http://vtprssa.weebly.com
Quantum Club at Virgina Tech,"The mission of Quantum Club at Virginia Tech is to make quantum computing accessible to students from all academic backgrounds by providing education, hands-on experience, and a supportive interdisciplinary community. The organization will introduce members to quantum computing principles,…",Technology,https://gobblerconnect.vt.edu/QuantumClub/
"Queer Grads, Professionals and Allies","QGPA provides LGBT-friendly services, events, and activities for the graduate and professional community of Blacksburg.",Advocacy & Awareness,https://gobblerconnect.vt.edu/qgpa/
Quizbowl at Virginia Tech,"We are an organization dedicated to competing in intercollegiate quiz bowl competitions, hosting high school competitions, and fostering the southwest Virginia quizbowl community through outreach.",Academic,https://gobblerconnect.vt.edu/QBVT/
Real Estate Club,"The Real Estate Club works to allow members to have the opportunity to expand their knowledge, develop valuable relationships, and gain hands-on experience in the dynamic world of real estate.",Academic,https://gobblerconnect.vt.edu/realestateclub/
Real Greek Life,"Real Greek Life at Virginia Tech encompasses the Hellenic culture by hosting events featuring Greek food, music, dancing, fellowship, and service. This club is accepting of ALL students to create long lasting friendships and memories!",Campus Spirit & Traditions,https://gobblerconnect.vt.edu/rglvt/
Virginia Tech Alpine Ski Team,"VT Alpine Ski Team is a co-ed, competitive club sport involving Slalom and GS ski racing. We race in the USCSA Southeast Conference and compete against schools such as UVA, Georgetown, and Duke. Ski experience expected. NO RACING EXPERIENCE REQUIRED!",Recreation,http://vtalpineski.weebly.com
Virginia Tech Equestrian Club,"The mission of the Virginia Tech Equestrian Club is to provide students with opportunities to continue or develop their involvement in the equine industry while building a welcoming and supportive community. Through riding, competition, education, leadership, and service, the club encourages…",Recreation,https://vatechequestrian.weebly.com/
Virginia Tech Fencing Club,The Virginia Tech Fencing Club strives to ensure that the Olympic sport of fencing is available to anyone who wishes to join our community. We welcome all of varying expertise and offer free beginner lessons for those who want to learn. New fencers can join us at any time; sweatpants and sneakers…,Recreation,https://gobblerconnect.vt.edu/vtfc/
Red Cross Club,"The Red Cross Club at Virginia Tech serves the New River and Roanoke Valley communities with outreach such as blood drives, fire canvassing, disaster relief, preparedness training, and fundraising.",Advocacy & Awareness,https://gobblerconnect.vt.edu/redcrossclubvt/
Reformed University Fellowship,RUF exists to reach students for Christ and equip them to serve. RUF is open to the convinced and the unconvinced - a safe place to ask questions and discover the need for new life in Christ.,Religious,https://gobblerconnect.vt.edu/vtruf/
Reiki Club,"The Reiki Club at Virginia Tech provides an environment in which students, faculty, and members of the surrounding community can gather to learn and practice the Japanese energy healing art of Reiki.",Enthusiasts & Special Interests,https://gobblerconnect.vt.edu/reiki/
Relay For Life at Virginia Tech,"Relay For Life at Virginia Tech is a year-long, record-breaking fundraising effort that benefits the American Cancer Society. Virginia Tech has had the largest Collegiate Relay For Life in the World for the decade.",Advocacy & Awareness,https://linktr.ee/VTRelayForLife
REM on Campus,"Providing students with hands-on experience by connecting them with local small businesses and conducting consulting, financial, marketing, and management recommendations + deliverables for them.",Academic,https://www.remandcompany.com/remoncampus
Remote Area Medical Chapter at Virginia Tech,"We organize volunteers, raise funds, and network with local medical schools with a close relationship to the Remote Area Medical National Organization. We help provide free healthcare to those in remote areas with little access to healthcare.",Advocacy & Awareness,https://gobblerconnect.vt.edu/ramvt/
Reproductive Freedom at Virginia Tech,"We are a chapter of a national organization, Reproductive Freedom For All, focused on educating Virginia Tech and surrounding areas on the history, science and rights of abortion while making active efforts towards legislation changes that support women.",Advocacy & Awareness,https://gobblerconnect.vt.edu/reproductiverights/
RHeart at Virginia Tech,"RHeart's mission is to prevent Sudden Cardiac Arrest (SCA) through awareness, education, and action. We provide free heart screenings to students and adults of the New River Valley community to detect warning signs of SCA.",Advocacy & Awareness,https://gobblerconnect.vt.edu/rheartatvirginiatech/
Rhetoric Club,"Rhetoric Club is a professional development organization for students interested in rhetoric and writing at Virginia Tech, focused on success, fellowship, and community engagement.",Academic,https://gobblerconnect.vt.edu/rhetoricclub/
Rho Epsilon Iota,"Rho Epsilon Iota is the nation’s first premier real estate fraternity. We are dedicated to fostering the next generation of real estate professionals by creating an inclusive learning, growth, and professional development environment.",Academic,https://www.rhoepsiloniota.org/chapters/virginia-tech
Riichi Mahjong Association at Virginia Tech,The goal of VTMA is recruiting Riichi Mahjong players at VT and in Blacksburg to enjoy the fun of mahjong and teach more people mahjong.,Cultural & International,https://gobblerconnect.vt.edu/mahjong/
Roanoke Graduate Student Association,RGSA is a VT student organization that works to serve and advocate for the graduate life &amp; wellbeing of graduate students living and/or working in Roanoke!,Other,https://roanokegrads.wixsite.com/rgsa
RoboGrinder at Virginia Tech,"RoboGrinder empowers students to tackle complex engineering problems through competitive robotics. We are a co-founding university of the RoboMaster North America community (now ARC Robotics) and remain dedicated to its growth. Each year the team designs, manufactures, and validates a new fleet of…",Academic,http://www.robogrinder.org
Robot in 3 Days at Virginia Tech,Ri3D@VT spends 72 hours after the launch of a new FIRST FRC challenge building a competitive robot to create a resource for high school students worldwide.,Academic,https://gobblerconnect.vt.edu/virginiatechri3d/
Rock Climbing Club at Virginia Tech,The climbing club is a student organization dedicated to helping people experience the joy of climbing. The club provides opportunities to meet other climbers and clinics to demonstrate some of the skills needed. Check the roster for officer emails!,Recreation,https://gobblerconnect.vt.edu/rockclimbingclub/
Rocketry at Virginia Tech,"Rocketry at Virginia Tech is a competition engineering design team affiliated with the Virginia Tech Department of Aerospace and Ocean Engineering. The club aims to create an environment for students to learn and work together, building, launching, and experimenting with high-power rockets.",Academic,https://rocketryatvirginiatech.org
Rotaract Club,"Rotaract Club at Virginia Tech is a community of young leaders dedicated to making an impact locally and globally. As part of the global Rotary family, we team up for hands-on service projects, professional development, fundraising events, and regular socials. Whether we’re collaborating with our…",Professional & Career Development,https://gobblerconnect.vt.edu/rotaract/
Roundnet at Virginia Tech,Our mission is to foster a community at Virginia Tech around the sport of roundnet.,Enthusiasts & Special Interests,https://gobblerconnect.vt.edu/srcatvt/
Russian Speaking Student Association at Virginia Tech,"The Russian Speaking Student Association (RSSA) at Virginia Tech promotes language and cultures of Eastern Europe, Central Asia, and others, fostering cultural exchange and appreciation through diverse cultural events.",Academic,https://gobblerconnect.vt.edu/rssa/
Sailing Club at Virginia Tech,"Welcome to the Sailing Club at Virginia Tech! We have options to sail recreationally or competitively, and we do not require any sailing experience to join. Feel free to reach out if you are interested!",Enthusiasts & Special Interests,https://gobblerconnect.vt.edu/sailingclub/
SalsaTech at Virginia Tech,"SalsaTech hosts free lessons and socials weekly for students of Virginia Tech, as well as the Blacksburg community. We teach several styles of Latin dance, such as salsa, bachata, merengue, cumbia, and rueda.",Arts & Entertainment,https://gobblerconnect.vt.edu/salsatech/
Save the Children Action Network at Virginia Tech,"The Save the Children Action Network (SCAN) was created to expand early childhood education in the US, help vulnerable children worldwide, and keep children safe at the US-Mexico border. Our goal is to give every child a strong start in life!",Advocacy & Awareness,https://gobblerconnect.vt.edu/tinyurlcomscanatvt/
